dates,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,winner,player_of_match,match_id
2008-05-15,Delhi,2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Feroz Shah Kotla,1,Delhi Daredevils,A Mishra,37.0
2008-05-16,Mumbai,2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1,Mumbai Indians,SM Pollock,38.0
2008-05-17,Jaipur,2008,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,1,Rajasthan Royals,GC Smith,39.0
2008-05-17,Delhi,2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,1,Kings XI Punjab,DPMD Jayawardene,40.0
2008-05-18,Hyderabad,2008,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,DJ Bravo,41.0
2008-05-18,Kolkata,2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,1,Chennai Super Kings,M Ntini,42.0
2008-05-19,Bangalore,2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,1,Delhi Daredevils,SP Goswami,43.0
2008-05-20,Kolkata,2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,1,Rajasthan Royals,YK Pathan,44.0
2008-05-21,Mumbai,2008,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Wankhede Stadium,1,Kings XI Punjab,SE Marsh,45.0
2008-05-21,Chennai,2008,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,A Kumble,46.0
2008-05-23,Chandigarh,2008,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SE Marsh,47.0
2008-05-24,Delhi,2008,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla,1,Delhi Daredevils,KD Karthik,48.0
2008-05-24,Chennai,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,JA Morkel,49.0
2008-05-25,Hyderabad,2008,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,R Vinay Kumar,50.0
2008-05-25,Kolkata,2008,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Eden Gardens,1,Kolkata Knight Riders,Umar Gul,51.0
2008-05-26,Jaipur,2008,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,Sohail Tanvir,52.0
2008-05-27,Hyderabad,2008,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1,Chennai Super Kings,SK Raina,53.0
2008-05-28,Bangalore,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,1,Mumbai Indians,CRD Fernando,54.0
2008-05-28,Chandigarh,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SE Marsh,55.0
2008-05-30,Mumbai,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,Wankhede Stadium,1,Rajasthan Royals,SR Watson,56.0
2008-05-31,Mumbai,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Wankhede Stadium,1,Chennai Super Kings,M Ntini,57.0
2008-06-01,Mumbai,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,1,Rajasthan Royals,YK Pathan,58.0
2009-04-18,Cape Town,2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Newlands,1,Royal Challengers Bangalore,R Dravid,59.0
2009-04-18,Cape Town,2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands,1,Mumbai Indians,SR Tendulkar,60.0
2009-04-19,Cape Town,2009,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Newlands,1,Delhi Daredevils,DL Vettori,61.0
2009-04-19,Cape Town,2009,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Newlands,1,Deccan Chargers,RP Singh,62.0
2009-04-20,Port Elizabeth,2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,St George's Park,1,Chennai Super Kings,M Muralitharan,63.0
2009-04-21,Durban,2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,1,Kolkata Knight Riders,CH Gayle,64.0
2009-04-22,Cape Town,2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Newlands,1,Deccan Chargers,AC Gilchrist,65.0
2009-04-23,Durban,2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,bat,Kingsmead,1,Delhi Daredevils,AB de Villiers,66.0
2009-04-23,Cape Town,2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,2,Rajasthan Royals,YK Pathan,67.0
2009-04-24,Durban,2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead,1,Kings XI Punjab,RS Bopara,68.0
2009-04-25,Durban,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Kingsmead,1,Deccan Chargers,PP Ojha,69.0
2009-04-26,Port Elizabeth,2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,St George's Park,1,Delhi Daredevils,TM Dilshan,70.0
2009-04-26,Cape Town,2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Newlands,1,Kings XI Punjab,KC Sangakkara,71.0
2009-04-27,Durban,2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Kingsmead,1,Deccan Chargers,HH Gibbs,72.0
2009-04-27,Port Elizabeth,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park,1,Mumbai Indians,SR Tendulkar,73.0
2009-04-28,Centurion,2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,SuperSport Park,1,Rajasthan Royals,YK Pathan,74.0
2009-04-29,Durban,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,1,Royal Challengers Bangalore,MV Boucher,75.0
2009-04-29,Durban,2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kingsmead,1,Kings XI Punjab,KC Sangakkara,76.0
2009-04-30,Centurion,2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,1,Chennai Super Kings,SK Raina,77.0
2009-04-30,Centurion,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,SuperSport Park,1,Delhi Daredevils,DP Nannes,78.0
2009-05-01,East London,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,1,Mumbai Indians,JP Duminy,79.0
2009-05-01,Durban,2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead,1,Royal Challengers Bangalore,Yuvraj Singh,80.0
2009-05-02,Johannesburg,2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium,1,Chennai Super Kings,SB Jakati,81.0
2009-05-02,Port Elizabeth,2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,St George's Park,1,Rajasthan Royals,YK Pathan,82.0
2009-05-03,Port Elizabeth,2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park,1,Kings XI Punjab,DPMD Jayawardene,83.0
2009-05-03,Johannesburg,2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium,1,Royal Challengers Bangalore,JH Kallis,84.0
2009-05-04,East London,2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Buffalo Park,1,Chennai Super Kings,MS Dhoni,85.0
2009-05-05,Durban,2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Kingsmead,1,Rajasthan Royals,GC Smith,86.0
2009-05-05,Durban,2009,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,1,Delhi Daredevils,G Gambhir,87.0
2009-05-06,Centurion,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,SuperSport Park,1,Deccan Chargers,RG Sharma,88.0
2009-05-07,Centurion,2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,1,Rajasthan Royals,A Singh,89.0
2009-05-07,Centurion,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,SuperSport Park,1,Chennai Super Kings,ML Hayden,90.0
2009-05-08,East London,2009,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,1,Delhi Daredevils,A Nehra,91.0
2009-05-09,Kimberley,2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,1,Chennai Super Kings,S Badrinath,92.0
2009-05-09,Kimberley,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,De Beers Diamond Oval,1,Kings XI Punjab,DPMD Jayawardene,93.0
2009-05-10,Johannesburg,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,New Wanderers Stadium,1,Delhi Daredevils,A Mishra,94.0
2009-05-10,Port Elizabeth,2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,St George's Park,1,Mumbai Indians,JP Duminy,95.0
2009-05-11,Kimberley,2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,De Beers Diamond Oval,1,Deccan Chargers,DR Smith,96.0
2009-05-12,Centurion,2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,SuperSport Park,1,Mumbai Indians,Harbhajan Singh,97.0
2009-05-12,Centurion,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,SuperSport Park,1,Royal Challengers Bangalore,LRPL Taylor,98.0
2009-05-13,Durban,2009,Deccan Chargers,Delhi Daredevils,Deccan Chargers,field,Kingsmead,1,Delhi Daredevils,R Bhatia,99.0
2009-05-14,Durban,2009,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead,1,Rajasthan Royals,SK Warne,100.0
2009-05-14,Durban,2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead,1,Royal Challengers Bangalore,LRPL Taylor,101.0
2009-05-15,Bloemfontein,2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,OUTsurance Oval,1,Kings XI Punjab,B Lee,102.0
2009-05-16,Port Elizabeth,2009,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park,1,Chennai Super Kings,ML Hayden,103.0
2009-05-16,Johannesburg,2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,New Wanderers Stadium,1,Deccan Chargers,RG Sharma,104.0
2009-05-17,Bloemfontein,2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,OUTsurance Oval,1,Delhi Daredevils,AB de Villiers,105.0
2009-05-17,Johannesburg,2009,Deccan Chargers,Kings XI Punjab,Deccan Chargers,field,New Wanderers Stadium,1,Kings XI Punjab,Yuvraj Singh,106.0
2009-05-18,Centurion,2009,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,1,Kolkata Knight Riders,BJ Hodge,107.0
2009-05-19,Johannesburg,2009,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,New Wanderers Stadium,1,Royal Challengers Bangalore,JH Kallis,108.0
2009-05-20,Durban,2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead,1,Kolkata Knight Riders,LR Shukla,109.0
2009-05-20,Durban,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kingsmead,1,Chennai Super Kings,M Muralitharan,110.0
2009-05-21,Centurion,2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,SuperSport Park,1,Royal Challengers Bangalore,MK Pandey,111.0
2009-05-21,Centurion,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,SuperSport Park,1,Delhi Daredevils,V Sehwag,112.0
2009-05-22,Centurion,2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,SuperSport Park,1,Deccan Chargers,AC Gilchrist,113.0
2009-05-23,Johannesburg,2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,New Wanderers Stadium,1,Royal Challengers Bangalore,MK Pandey,114.0
2009-05-24,Johannesburg,2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,New Wanderers Stadium,1,Deccan Chargers,A Kumble,115.0
2010-03-12,Mumbai,2010,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Dr DY Patil Sports Academy,1,Kolkata Knight Riders,AD Mathews,116.0
2010-03-13,Chandigarh,2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,G Gambhir,117.0
2010-03-13,Mumbai,2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,1,Mumbai Indians,YK Pathan,118.0
2010-03-14,Chennai,2010,Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,WPUJC Vaas,119.0
2010-03-14,Kolkata,2010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Eden Gardens,1,Kolkata Knight Riders,MK Tiwary,120.0
2010-03-15,Ahmedabad,2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,"Sardar Patel Stadium, Motera",1,Delhi Daredevils,V Sehwag,121.0
2010-03-16,Bangalore,2010,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,JH Kallis,122.0
2010-03-16,Kolkata,2010,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,1,Chennai Super Kings,MS Dhoni,123.0
2010-03-17,Delhi,2010,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla,1,Mumbai Indians,SR Tendulkar,124.0
2010-03-18,Bangalore,2010,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,JH Kallis,125.0
2010-03-19,Delhi,2010,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Feroz Shah Kotla,1,Chennai Super Kings,ML Hayden,126.0
2010-03-19,Cuttack,2010,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Barabati Stadium,1,Deccan Chargers,A Symonds,127.0
2010-03-20,Ahmedabad,2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,AA Jhunjhunwala,128.0
2010-03-20,Mumbai,2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Brabourne Stadium,1,Royal Challengers Bangalore,JH Kallis,129.0
2010-03-21,Cuttack,2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Barabati Stadium,1,Deccan Chargers,A Symonds,130.0
2010-03-21,Chennai,2010,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,J Theron,131.0
2010-03-22,Mumbai,2010,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium,1,Mumbai Indians,SR Tendulkar,132.0
2010-03-23,Bangalore,2010,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,RV Uthappa,133.0
2010-03-24,Chandigarh,2010,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,AC Voges,134.0
2010-03-25,Mumbai,2010,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Brabourne Stadium,1,Mumbai Indians,SR Tendulkar,135.0
2010-03-25,Bangalore,2010,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Delhi Daredevils,KM Jadhav,136.0
2010-03-26,Ahmedabad,2010,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,YK Pathan,137.0
2010-03-27,Chandigarh,2010,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,MK Tiwary,138.0
2010-03-28,Ahmedabad,2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,NV Ojha,139.0
2010-03-28,Mumbai,2010,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Dr DY Patil Sports Academy,1,Mumbai Indians,Harbhajan Singh,140.0
2010-03-29,Delhi,2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,1,Delhi Daredevils,DA Warner,141.0
2010-03-30,Mumbai,2010,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Brabourne Stadium,1,Mumbai Indians,SL Malinga,142.0
2010-03-31,Chennai,2010,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,M Vijay,143.0
2010-03-31,Delhi,2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Feroz Shah Kotla,1,Delhi Daredevils,KD Karthik,144.0
2010-04-01,Kolkata,2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens,1,Kolkata Knight Riders,SC Ganguly,145.0
2010-04-02,Chandigarh,2010,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,KP Pietersen,146.0
2010-04-03,Mumbai,2010,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Brabourne Stadium,1,Mumbai Indians,AT Rayudu,147.0
2010-04-03,Chennai,2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,M Vijay,148.0
2010-04-04,Kolkata,2010,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Eden Gardens,1,Kings XI Punjab,DPMD Jayawardene,149.0
2010-04-04,Delhi,2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Feroz Shah Kotla,1,Delhi Daredevils,PD Collingwood,150.0
2010-04-05,Nagpur,2010,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,SK Warne,151.0
2010-04-06,Chennai,2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,SK Raina,152.0
2010-04-07,Jaipur,2010,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,MJ Lumb,153.0
2010-04-07,Kolkata,2010,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,1,Kolkata Knight Riders,SC Ganguly,154.0
2010-04-08,Bangalore,2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,1,Deccan Chargers,TL Suman,155.0
2010-04-09,Chandigarh,2010,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,KC Sangakkara,156.0
2010-04-10,Bangalore,2010,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,R Vinay Kumar,157.0
2010-04-10,Nagpur,2010,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,"Vidarbha Cricket Association Stadium, Jamtha",1,Deccan Chargers,RJ Harris,158.0
2010-04-11,Jaipur,2010,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Mumbai Indians,SR Tendulkar,159.0
2010-04-11,Delhi,2010,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,1,Kings XI Punjab,PP Chawla,160.0
2010-04-12,Nagpur,2010,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha",1,Deccan Chargers,Harmeet Singh,161.0
